datetime,open,high,low,close,volume
2019-06-04 00:00:00+00:00,8115.66,8115.66,8050.0,8050.0,374.772708
2019-06-04 00:01:00+00:00,8050.02,8057.11,8010.0,8056.54,445.354256
2019-06-04 00:02:00+00:00,8056.53,8085.46,8052.6,8062.42,166.262576
2019-06-04 00:03:00+00:00,8063.43,8063.43,8010.0,8026.58,249.024563
2019-06-04 00:04:00+00:00,8026.38,8064.23,8000.0,8000.0,329.634252
2019-06-04 00:05:00+00:00,8001.0,8003.47,7920.0,7921.4,809.08451
2019-06-04 00:06:00+00:00,7921.4,7949.98,7889.0,7889.01,290.790385
2019-06-04 00:07:00+00:00,7889.01,7891.96,7780.4,7850.03,690.753005
2019-06-04 00:08:00+00:00,7855.96,7880.0,7850.0,7850.0,370.570646
2019-06-04 00:09:00+00:00,7850.0,7868.79,7842.0,7842.03,364.428024
2019-06-04 00:10:00+00:00,7842.03,7905.12,7836.9,7905.11,308.219647
2019-06-04 00:11:00+00:00,7905.11,7962.01,7902.25,7931.6,264.169929
2019-06-04 00:12:00+00:00,7931.6,7931.6,7900.99,7908.05,252.20502
2019-06-04 00:13:00+00:00,7908.05,7933.6,7901.0,7933.01,228.392726
2019-06-04 00:14:00+00:00,7933.01,7950.07,7919.68,7947.95,220.72176
2019-06-04 00:15:00+00:00,7947.95,7960.09,7943.59,7959.93,160.464681
2019-06-04 00:16:00+00:00,7958.5,7985.0,7956.0,7982.02,206.055844
2019-06-04 00:17:00+00:00,7982.11,8010.02,7980.0,7999.4,210.265458
2019-06-04 00:18:00+00:00,8001.41,8033.82,7999.2,8028.03,163.983821
2019-06-04 00:19:00+00:00,8028.03,8030.93,7995.85,8000.06,240.476102
2019-06-04 00:20:00+00:00,8000.08,8005.82,7920.0,7954.66,225.054792
2019-06-04 00:21:00+00:00,7954.66,7989.92,7936.68,7950.4,206.269927
2019-06-04 00:22:00+00:00,7945.85,8000.0,7945.8,7987.77,134.536147
2019-06-04 00:23:00+00:00,7988.06,8010.2,7980.52,8010.2,111.382745
2019-06-04 00:24:00+00:00,8010.2,8021.23,8000.0,8000.54,157.106702
2019-06-04 00:25:00+00:00,8000.54,8004.54,7977.0,7992.24,114.520412
2019-06-04 00:26:00+00:00,7990.02,8010.02,7977.03,8005.43,125.117439
2019-06-04 00:27:00+00:00,8005.44,8009.24,7990.75,8003.39,74.27284
2019-06-04 00:28:00+00:00,8007.4,8014.24,7985.78,8000.0,90.508017
2019-06-04 00:29:00+00:00,8000.09,8004.44,7971.0,7982.12,62.632228
2019-06-04 00:30:00+00:00,7985.7,7987.62,7967.0,7971.08,84.29742
2019-06-04 00:31:00+00:00,7969.57,7978.99,7955.1,7975.0,86.310345
2019-06-04 00:32:00+00:00,7975.0,7978.96,7955.13,7968.29,55.920057
2019-06-04 00:33:00+00:00,7971.42,7993.83,7962.75,7993.05,45.233279
2019-06-04 00:34:00+00:00,7992.79,8010.0,7990.0,8000.73,87.078679
2019-06-04 00:35:00+00:00,7998.07,8020.0,7997.01,8008.96,80.383356
2019-06-04 00:36:00+00:00,8005.95,8010.0,7985.46,7999.77,62.392344
2019-06-04 00:37:00+00:00,7999.77,8009.83,7989.49,7995.45,84.919321
2019-06-04 00:38:00+00:00,7995.35,8007.0,7960.02,7971.74,79.216082
2019-06-04 00:39:00+00:00,7972.65,7985.08,7960.04,7981.93,81.340751
2019-06-04 00:40:00+00:00,7984.18,7985.61,7944.23,7953.38,121.377688
2019-06-04 00:41:00+00:00,7952.23,7969.44,7936.46,7966.21,178.340988
2019-06-04 00:42:00+00:00,7966.21,7995.76,7965.07,7969.27,78.790393
2019-06-04 00:43:00+00:00,7969.28,7989.6,7969.27,7988.88,72.484159
2019-06-04 00:44:00+00:00,7988.15,7996.79,7977.23,7988.84,87.84182
2019-06-04 00:45:00+00:00,7988.86,7997.9,7982.75,7995.1,37.164568
2019-06-04 00:46:00+00:00,7995.11,8003.74,7988.8,8002.25,68.406718
2019-06-04 00:47:00+00:00,8002.25,8002.26,7981.59,7985.38,40.590067
2019-06-04 00:48:00+00:00,7985.39,7999.81,7985.17,7991.99,29.459726
2019-06-04 00:49:00+00:00,7992.64,8004.96,7988.8,8001.08,65.690918
2019-06-04 00:50:00+00:00,8003.45,8006.86,7996.15,8004.0,31.950418
2019-06-04 00:51:00+00:00,8003.86,8006.86,7997.89,8000.0,51.152134
2019-06-04 00:52:00+00:00,8000.11,8012.99,7996.99,8000.0,333.828524
2019-06-04 00:53:00+00:00,7998.26,8010.0,7997.03,8005.91,48.420312
2019-06-04 00:54:00+00:00,8004.57,8010.0,7990.97,7994.21,59.689177
2019-06-04 00:55:00+00:00,7997.52,7997.52,7971.65,7980.78,62.866367
2019-06-04 00:56:00+00:00,7978.06,7983.54,7962.94,7973.95,115.301925
2019-06-04 00:57:00+00:00,7971.29,7973.07,7960.1,7971.24,42.095854
2019-06-04 00:58:00+00:00,7969.81,7979.88,7966.28,7979.88,49.53423
2019-06-04 00:59:00+00:00,7979.88,7994.04,7975.02,7988.13,34.110218
2019-06-04 01:00:00+00:00,7989.98,8000.25,7988.13,7999.96,44.508997
2019-06-04 01:01:00+00:00,7999.93,8003.51,7978.03,7995.56,56.817138
2019-06-04 01:02:00+00:00,7994.84,7995.94,7986.19,7992.23,35.125005
2019-06-04 01:03:00+00:00,7991.81,8000.0,7989.14,7996.9,57.038336
2019-06-04 01:04:00+00:00,7996.9,8008.0,7994.86,8008.0,40.876322
2019-06-04 01:05:00+00:00,8004.02,8014.09,8004.02,8014.09,51.042436
2019-06-04 01:06:00+00:00,8012.77,8015.0,8009.45,8014.85,41.404882
2019-06-04 01:07:00+00:00,8013.82,8032.53,8013.82,8029.46,103.734092
2019-06-04 01:08:00+00:00,8029.63,8035.31,8025.0,8028.85,155.293121
2019-06-04 01:09:00+00:00,8030.24,8034.98,8025.05,8028.94,43.108492
2019-06-04 01:10:00+00:00,8027.32,8028.9,8014.29,8020.18,61.009194
2019-06-04 01:11:00+00:00,8020.11,8030.0,8017.12,8029.55,40.711
2019-06-04 01:12:00+00:00,8029.55,8039.79,8029.11,8039.79,81.794171
2019-06-04 01:13:00+00:00,8039.79,8059.0,8039.79,8051.92,96.122892
2019-06-04 01:14:00+00:00,8051.93,8067.99,8051.92,8059.97,100.366619
2019-06-04 01:15:00+00:00,8059.78,8060.0,8044.83,8052.4,96.770806
2019-06-04 01:16:00+00:00,8051.89,8053.0,8040.59,8048.96,55.220876
2019-06-04 01:17:00+00:00,8047.98,8059.0,8047.98,8058.78,76.747134
2019-06-04 01:18:00+00:00,8058.79,8059.84,8052.73,8052.76,79.874522
2019-06-04 01:19:00+00:00,8053.03,8058.67,8035.85,8048.87,55.505951
2019-06-04 01:20:00+00:00,8048.88,8050.02,8034.22,8036.2,35.535128
2019-06-04 01:21:00+00:00,8035.27,8038.06,8022.08,8031.11,54.947822
2019-06-04 01:22:00+00:00,8031.15,8039.0,8027.2,8030.44,35.068676
2019-06-04 01:23:00+00:00,8034.92,8047.13,8030.02,8043.77,46.985522
2019-06-04 01:24:00+00:00,8043.96,8047.15,8038.03,8046.58,53.495545
2019-06-04 01:25:00+00:00,8047.0,8049.0,8037.16,8041.27,48.961057
2019-06-04 01:26:00+00:00,8038.53,8048.64,8035.39,8042.56,24.674348
2019-06-04 01:27:00+00:00,8042.65,8049.0,8036.02,8040.85,169.382605
2019-06-04 01:28:00+00:00,8040.77,8041.7,8031.86,8039.31,34.620081
2019-06-04 01:29:00+00:00,8039.34,8045.93,8036.73,8043.69,26.535222
2019-06-04 01:30:00+00:00,8042.57,8044.46,8035.88,8041.89,54.855629
2019-06-04 01:31:00+00:00,8041.87,8043.39,8040.01,8043.37,39.988298
2019-06-04 01:32:00+00:00,8043.33,8049.0,8039.94,8040.0,71.419052
2019-06-04 01:33:00+00:00,8040.0,8040.0,8035.03,8037.86,71.811296
2019-06-04 01:34:00+00:00,8037.86,8040.0,8036.67,8038.6,25.538226
2019-06-04 01:35:00+00:00,8038.0,8039.6,8026.18,8027.77,45.277166
