open,high,low,close,volume,datetime
8545.1,8548.55,8535.98,8537.67,17.349543,2019-06-02 00:00:00+00:00
8537.53,8543.49,8524.0,8534.66,31.599922,2019-06-02 00:01:00+00:00
8533.64,8540.13,8529.98,8534.97,7.011458,2019-06-02 00:02:00+00:00
8534.97,8551.76,8534.0,8551.76,5.992965,2019-06-02 00:03:00+00:00
8551.76,8554.76,8544.62,8549.3,15.771411,2019-06-02 00:04:00+00:00
8548.93,8550.27,8543.7,8550.27,7.113834,2019-06-02 00:05:00+00:00
8550.24,8560.23,8548.24,8560.23,12.20933,2019-06-02 00:06:00+00:00
8560.52,8565.95,8554.82,8559.98,19.874163,2019-06-02 00:07:00+00:00
8559.71,8571.42,8555.94,8564.99,8.664646,2019-06-02 00:08:00+00:00
8567.3,8572.29,8563.78,8568.41,17.519599,2019-06-02 00:09:00+00:00
8568.24,8570.38,8551.06,8562.7,9.919532,2019-06-02 00:10:00+00:00
8562.55,8570.49,8558.95,8565.35,5.016198,2019-06-02 00:11:00+00:00
8561.75,8569.99,8560.0,8563.04,9.140972,2019-06-02 00:12:00+00:00
8563.07,8565.59,8553.85,8555.01,11.671986,2019-06-02 00:13:00+00:00
8555.01,8563.14,8551.42,8562.08,6.82014,2019-06-02 00:14:00+00:00
8562.08,8569.09,8562.08,8563.9,22.380033,2019-06-02 00:15:00+00:00
8563.9,8563.9,8556.41,8561.02,21.220004,2019-06-02 00:16:00+00:00
8559.38,8567.75,8557.45,8563.56,4.597847,2019-06-02 00:17:00+00:00
8561.48,8563.69,8559.23,8562.3,2.677278,2019-06-02 00:18:00+00:00
8561.43,8561.43,8554.43,8554.45,8.91622,2019-06-02 00:19:00+00:00
8554.45,8557.11,8538.3,8557.11,14.772052,2019-06-02 00:20:00+00:00
8557.11,8557.11,8553.24,8553.35,1.531903,2019-06-02 00:21:00+00:00
8553.4,8555.92,8548.56,8553.21,5.993895,2019-06-02 00:22:00+00:00
8553.21,8553.42,8548.55,8548.55,2.289636,2019-06-02 00:23:00+00:00
8548.55,8556.12,8548.55,8552.64,5.624641,2019-06-02 00:24:00+00:00
8556.11,8556.11,8551.13,8553.99,1.368251,2019-06-02 00:25:00+00:00
8552.73,8553.99,8552.72,8552.72,1.694624,2019-06-02 00:26:00+00:00
8553.98,8558.73,8551.97,8558.73,5.469168,2019-06-02 00:27:00+00:00
8558.73,8563.56,8556.29,8563.0,3.47466,2019-06-02 00:28:00+00:00
8563.01,8563.42,8557.71,8563.32,2.324503,2019-06-02 00:29:00+00:00
8563.46,8563.47,8556.91,8559.8,4.088058,2019-06-02 00:30:00+00:00
8559.8,8562.0,8557.45,8560.08,6.589084,2019-06-02 00:31:00+00:00
8558.91,8562.87,8557.53,8557.69,2.900324,2019-06-02 00:32:00+00:00
8557.7,8566.65,8557.69,8566.65,3.659997,2019-06-02 00:33:00+00:00
8562.86,8579.14,8562.85,8579.14,15.130382,2019-06-02 00:34:00+00:00
8579.14,8582.0,8576.33,8579.79,15.518264,2019-06-02 00:35:00+00:00
8582.0,8585.88,8571.95,8571.95,35.337664,2019-06-02 00:36:00+00:00
8571.95,8577.0,8571.79,8576.55,1.351415,2019-06-02 00:37:00+00:00
8576.57,8578.72,8574.28,8578.16,5.152449,2019-06-02 00:38:00+00:00
8576.64,8581.27,8575.58,8577.44,7.202423,2019-06-02 00:39:00+00:00
8580.34,8585.89,8578.72,8585.88,6.728744,2019-06-02 00:40:00+00:00
8585.89,8588.33,8576.71,8578.99,22.30668,2019-06-02 00:41:00+00:00
8577.22,8579.0,8572.88,8576.05,15.603454,2019-06-02 00:42:00+00:00
8578.95,8588.01,8576.06,8585.01,11.699966,2019-06-02 00:43:00+00:00
8586.72,8588.0,8579.79,8582.9,10.613653,2019-06-02 00:44:00+00:00
8582.88,8582.9,8572.49,8572.9,9.225602,2019-06-02 00:45:00+00:00
8572.9,8573.2,8564.93,8568.9,10.363041,2019-06-02 00:46:00+00:00
8566.56,8568.39,8559.4,8564.95,9.118646,2019-06-02 00:47:00+00:00
8562.64,8569.91,8562.47,8568.21,14.752637,2019-06-02 00:48:00+00:00
8569.9,8573.24,8568.28,8569.06,8.109697,2019-06-02 00:49:00+00:00
8569.06,8571.16,8562.9,8565.35,8.201869,2019-06-02 00:50:00+00:00
8565.3,8567.72,8558.97,8566.64,9.808063,2019-06-02 00:51:00+00:00
8567.94,8575.2,8565.01,8570.75,9.064341,2019-06-02 00:52:00+00:00
8573.67,8574.69,8565.16,8570.23,7.694113,2019-06-02 00:53:00+00:00
8565.36,8570.23,8565.11,8566.97,9.234992,2019-06-02 00:54:00+00:00
8567.6,8567.61,8560.11,8560.98,10.532427,2019-06-02 00:55:00+00:00
8560.11,8562.91,8556.16,8559.26,6.82361,2019-06-02 00:56:00+00:00
8561.16,8569.8,8559.28,8566.07,8.126079,2019-06-02 00:57:00+00:00
8563.97,8564.49,8557.36,8557.36,11.380211,2019-06-02 00:58:00+00:00
8557.36,8567.19,8557.0,8564.83,6.805593,2019-06-02 00:59:00+00:00
8564.97,8570.0,8557.44,8559.78,6.179233,2019-06-02 01:00:00+00:00
8557.71,8565.63,8557.43,8565.48,5.957807,2019-06-02 01:01:00+00:00
8562.31,8566.03,8561.38,8565.97,5.792035,2019-06-02 01:02:00+00:00
8566.03,8574.2,8565.93,8570.44,7.170411,2019-06-02 01:03:00+00:00
8568.68,8574.68,8568.0,8574.68,23.022165,2019-06-02 01:04:00+00:00
8574.68,8575.81,8570.76,8571.74,4.609193,2019-06-02 01:05:00+00:00
8571.53,8573.0,8569.04,8572.99,8.714454,2019-06-02 01:06:00+00:00
8572.99,8576.99,8572.99,8575.47,8.906546,2019-06-02 01:07:00+00:00
8577.0,8580.2,8575.47,8580.2,13.689571,2019-06-02 01:08:00+00:00
8580.2,8590.47,8579.44,8590.41,24.780973,2019-06-02 01:09:00+00:00
8590.45,8591.3,8582.92,8584.03,29.615925,2019-06-02 01:10:00+00:00
8584.01,8585.67,8571.67,8574.44,11.980817,2019-06-02 01:11:00+00:00
8574.44,8583.07,8572.15,8582.42,13.366769,2019-06-02 01:12:00+00:00
8582.42,8583.84,8574.0,8574.01,22.409198,2019-06-02 01:13:00+00:00
8575.01,8579.18,8572.93,8572.97,5.592275,2019-06-02 01:14:00+00:00
8576.16,8578.23,8572.21,8577.08,6.656861,2019-06-02 01:15:00+00:00
8578.23,8584.0,8577.51,8583.99,7.342305,2019-06-02 01:16:00+00:00
8581.78,8583.82,8574.97,8577.41,7.635833,2019-06-02 01:17:00+00:00
8577.02,8584.36,8576.17,8584.22,5.974221,2019-06-02 01:18:00+00:00
8583.99,8585.0,8576.29,8581.05,12.460164,2019-06-02 01:19:00+00:00
8581.05,8589.99,8578.31,8582.05,40.667301,2019-06-02 01:20:00+00:00
8582.21,8588.07,8582.21,8586.33,7.611577,2019-06-02 01:21:00+00:00
8586.33,8595.12,8583.23,8594.99,51.051786,2019-06-02 01:22:00+00:00
8593.25,8596.71,8588.33,8595.58,20.999056,2019-06-02 01:23:00+00:00
8591.31,8598.0,8588.4,8588.65,14.268395,2019-06-02 01:24:00+00:00
8588.65,8591.83,8579.88,8579.99,38.527262,2019-06-02 01:25:00+00:00
8579.99,8582.12,8572.39,8574.98,6.77544,2019-06-02 01:26:00+00:00
8574.98,8575.0,8569.0,8571.99,19.46846,2019-06-02 01:27:00+00:00
8571.99,8579.99,8568.0,8579.98,26.403975,2019-06-02 01:28:00+00:00
8577.46,8578.99,8574.58,8575.04,11.282902,2019-06-02 01:29:00+00:00
8575.04,8576.7,8572.15,8575.95,10.190638,2019-06-02 01:30:00+00:00
8575.79,8576.35,8567.43,8569.76,42.340875,2019-06-02 01:31:00+00:00
8568.02,8568.02,8560.2,8566.57,16.239255,2019-06-02 01:32:00+00:00
8564.53,8571.66,8564.25,8568.99,4.984534,2019-06-02 01:33:00+00:00
8569.19,8572.88,8561.94,8566.36,12.071466,2019-06-02 01:34:00+00:00
8563.89,8566.36,8561.18,8561.18,4.430124,2019-06-02 01:35:00+00:00
8561.18,8570.0,8560.2,8564.67,10.348206,2019-06-02 01:36:00+00:00
8561.99,8565.96,8557.43,8562.18,20.432819,2019-06-02 01:37:00+00:00
8565.58,8566.14,8559.75,8563.64,4.296215,2019-06-02 01:38:00+00:00
8562.29,8569.74,8562.29,8568.0,5.433627,2019-06-02 01:39:00+00:00
8569.51,8570.07,8563.99,8567.14,6.145285,2019-06-02 01:40:00+00:00
8567.13,8569.99,8561.12,8561.12,6.084798,2019-06-02 01:41:00+00:00
8563.5,8563.5,8553.54,8555.95,10.644124,2019-06-02 01:42:00+00:00
8557.59,8565.21,8554.99,8561.28,4.331131,2019-06-02 01:43:00+00:00
8564.53,8566.3,8557.68,8558.29,8.017012,2019-06-02 01:44:00+00:00
8557.78,8560.24,8557.0,8558.59,4.284034,2019-06-02 01:45:00+00:00
8560.24,8563.41,8551.33,8551.69,24.25034,2019-06-02 01:46:00+00:00
8552.03,8556.61,8550.89,8553.7,7.273915,2019-06-02 01:47:00+00:00
8555.0,8559.14,8552.83,8557.01,9.667066,2019-06-02 01:48:00+00:00
8555.89,8558.8,8555.21,8555.28,5.266846,2019-06-02 01:49:00+00:00
8555.28,8557.77,8552.83,8552.84,9.918394,2019-06-02 01:50:00+00:00
8552.92,8557.99,8552.83,8554.88,7.897203,2019-06-02 01:51:00+00:00
8554.88,8566.21,8554.5,8561.82,24.677061,2019-06-02 01:52:00+00:00
8560.55,8569.02,8560.55,8568.12,7.768291,2019-06-02 01:53:00+00:00
8566.0,8569.0,8559.16,8560.31,12.307429,2019-06-02 01:54:00+00:00
8560.31,8564.03,8558.55,8564.01,4.946331,2019-06-02 01:55:00+00:00
8561.32,8565.47,8560.38,8563.2,4.930489,2019-06-02 01:56:00+00:00
8564.5,8569.12,8563.19,8568.85,4.730113,2019-06-02 01:57:00+00:00
8568.83,8572.58,8566.89,8571.98,15.513324,2019-06-02 01:58:00+00:00
8571.96,8575.35,8568.88,8571.46,8.959751,2019-06-02 01:59:00+00:00
8570.35,8573.95,8568.04,8571.34,6.772729,2019-06-02 02:00:00+00:00
8571.34,8576.31,8570.01,8573.52,4.966721,2019-06-02 02:01:00+00:00
8573.58,8579.04,8568.0,8570.09,10.39059,2019-06-02 02:02:00+00:00
8568.99,8570.02,8562.65,8569.1,9.046754,2019-06-02 02:03:00+00:00
8568.02,8571.32,8565.81,8566.29,7.769157,2019-06-02 02:04:00+00:00
8566.29,8569.82,8561.01,8565.22,8.730287,2019-06-02 02:05:00+00:00
8561.3,8570.2,8560.62,8568.72,9.481338,2019-06-02 02:06:00+00:00
8568.73,8570.14,8560.64,8560.81,7.313269,2019-06-02 02:07:00+00:00
8565.87,8567.7,8560.76,8566.33,3.336415,2019-06-02 02:08:00+00:00
8567.7,8572.69,8565.54,8568.01,4.063232,2019-06-02 02:09:00+00:00
8568.03,8572.75,8567.78,8569.79,3.863933,2019-06-02 02:10:00+00:00
8569.01,8570.98,8562.44,8563.1,5.770336,2019-06-02 02:11:00+00:00
8563.07,8570.09,8560.0,8563.98,10.656399,2019-06-02 02:12:00+00:00
8563.68,8566.13,8558.01,8563.95,8.875973,2019-06-02 02:13:00+00:00
8563.95,8575.57,8561.9,8573.58,15.071082,2019-06-02 02:14:00+00:00
8574.48,8581.62,8573.56,8579.11,17.811622,2019-06-02 02:15:00+00:00
8578.32,8580.75,8569.66,8570.11,12.576163,2019-06-02 02:16:00+00:00
8571.17,8575.0,8569.79,8574.52,5.48228,2019-06-02 02:17:00+00:00
8574.17,8579.67,8567.62,8576.99,12.977327,2019-06-02 02:18:00+00:00
8576.74,8579.6,8567.65,8579.6,12.846648,2019-06-02 02:19:00+00:00
8577.44,8582.64,8575.64,8579.13,16.378198,2019-06-02 02:20:00+00:00
8579.1,8580.09,8573.02,8577.27,22.787799,2019-06-02 02:21:00+00:00
8579.11,8582.47,8577.27,8582.15,5.038456,2019-06-02 02:22:00+00:00
8580.84,8582.19,8575.16,8577.88,16.976464,2019-06-02 02:23:00+00:00
8577.64,8581.68,8572.79,8577.03,11.006139,2019-06-02 02:24:00+00:00
8575.04,8576.83,8570.01,8576.83,8.852939,2019-06-02 02:25:00+00:00
8576.71,8577.0,8573.27,8574.95,4.157404,2019-06-02 02:26:00+00:00
8575.41,8577.0,8574.95,8576.76,5.802522,2019-06-02 02:27:00+00:00
8575.37,8576.69,8570.23,8572.94,16.529973,2019-06-02 02:28:00+00:00
8574.01,8575.0,8569.03,8572.6,13.439557,2019-06-02 02:29:00+00:00
8572.86,8572.86,8568.0,8568.94,6.914452,2019-06-02 02:30:00+00:00
8568.0,8572.51,8567.59,8571.99,9.713721,2019-06-02 02:31:00+00:00
8571.99,8572.0,8563.0,8563.63,25.465642,2019-06-02 02:32:00+00:00
8563.0,8569.88,8561.13,8563.87,17.64757,2019-06-02 02:33:00+00:00
8566.28,8568.18,8557.38,8560.47,9.012725,2019-06-02 02:34:00+00:00
